[rosmaster.main][INFO] 2017-11-20 12:09:24,840: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-11-20 12:09:24,841: Starting ROS Master Node
[xmlrpc][INFO] 2017-11-20 12:09:24,841: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-11-20 12:09:24,842: Started XML-RPC server [http://frank-Precision-7510:11311/]
[xmlrpc][INFO] 2017-11-20 12:09:24,842: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-11-20 12:09:24,842: Master initialized: port[11311], uri[http://frank-Precision-7510:11311/]
[rosmaster.master][INFO] 2017-11-20 12:09:24,847: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,848: +PARAM [/roslaunch/uris/host_frank_precision_7510__33494] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,955: +PARAM [/ekf_localization/odom0] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/jackal_velocity_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/sb_map_saver/publish_png_map] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/platform] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/jackal_joint_publisher/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/jackal_velocity_controller/linear/x/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,956: +PARAM [/jackal_velocity_controller/left_wheel] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +SERVICE [/rosout/get_loggers] /rosout http://frank-Precision-7510:44214/
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +PARAM [/rosbridge_websocket/delay_between_messages] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +PARAM [/rosbridge_websocket/authenticate] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +PARAM [/rosbridge_websocket/fragment_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +SERVICE [/rosout/set_logger_level] /rosout http://frank-Precision-7510:44214/
[rosmaster.master][INFO] 2017-11-20 12:09:24,957: +PARAM [/jackal_velocity_controller/enable_odom_tf] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/jackal_velocity_controller/wheel_separation_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/sb_map_saver/free_thres] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/jackal_velocity_controller/linear/x/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/ekf_localization/odom0_differential] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/ekf_localization/imu0_differential] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,958: +PARAM [/jackal_velocity_controller/wheel_radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/rosbridge_websocket/address] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PUB [/rosout_agg] /rosout http://frank-Precision-7510:44214/
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/jackal_velocity_controller/linear/x/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/jackal_velocity_controller/twist_covariance_diagonal] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/ekf_localization/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/jackal_velocity_controller/angular/z/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,959: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,960: +PARAM [/jackal_velocity_controller/angular/z/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,960: +PARAM [/jackal_velocity_controller/k_l] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,960: +PARAM [/rosbridge_websocket/port] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,961: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,961: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,961: +PARAM [/ekf_localization/odom0_config] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,961: +PARAM [/jackal_velocity_controller/angular/z/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,962: +PARAM [/sb_map_saver/occupied_thres] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,962: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,962: +PARAM [/jackal_velocity_controller/cmd_vel_timeout] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,962: +PARAM [/rosbridge_websocket/retry_startup_delay] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,962: +PARAM [/jackal_velocity_controller/angular/z/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +PARAM [/ekf_localization/frequency] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +PARAM [/jackal_velocity_controller/k_r] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +PARAM [/simulation] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +PARAM [/jackal_velocity_controller/pose_covariance_diagonal] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +PARAM [/sb_map_saver/unknown_thres] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,963: +SUB [/rosout] /rosout http://frank-Precision-7510:44214/
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/jackal_velocity_controller/right_wheel] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/ekf_localization/base_link_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/ekf_localization/imu0] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/jackal_joint_publisher/type] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/ekf_localization/imu0_config] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/jackal_velocity_controller/type] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/jackal_velocity_controller/linear/x/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/ekf_localization/world_frame] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,964: +PARAM [/rosbridge_websocket/max_message_size] by /roslaunch
[rosmaster.master][INFO] 2017-11-20 12:09:24,978: +PUB [/rosout] /throttle_scans http://frank-Precision-7510:46819/
[rosmaster.master][INFO] 2017-11-20 12:09:24,978: +SERVICE [/throttle_scans/get_loggers] /throttle_scans http://frank-Precision-7510:46819/
[rosmaster.master][INFO] 2017-11-20 12:09:24,979: +SERVICE [/throttle_scans/set_logger_level] /throttle_scans http://frank-Precision-7510:46819/
[rosmaster.master][INFO] 2017-11-20 12:09:24,983: +SUB [/clock] /throttle_scans http://frank-Precision-7510:46819/
[rosmaster.master][INFO] 2017-11-20 12:09:24,987: +PUB [/rosout] /robot_state_publisher http://frank-Precision-7510:37875/
[rosmaster.master][INFO] 2017-11-20 12:09:24,989: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://frank-Precision-7510:37875/
[rosmaster.master][INFO] 2017-11-20 12:09:24,990: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://frank-Precision-7510:37875/
[rosmaster.master][INFO] 2017-11-20 12:09:24,992: +SUB [/scan] /throttle_scans http://frank-Precision-7510:46819/
